CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,CONTEXT_ID,HYPOTHESIS_ID,SUBSET
Two emergency responders are at the scene of an incident.,The emergency responders are not at the incident.,1,SNLI-train,SNLI-CONTRADICTION,1237177353.jpg#3,1237177353.jpg#3r1c,SNLI
Men dressed in either theatrical or historical attire riding horses.,The men are riding horses.,5,SNLI-train,SNLI-ENTAILMENT,12393804.jpg#1,12393804.jpg#1r3e,SNLI
Men dressed in either theatrical or historical attire riding horses.,The men are performing a reenactment on horses.,4,SNLI-train,SNLI-NEUTRAL,12393804.jpg#1,12393804.jpg#1r3n,SNLI
Men dressed in either theatrical or historical attire riding horses.,A theatrical horse has a soliloquy on stage.,1,SNLI-train,SNLI-CONTRADICTION,12393804.jpg#1,12393804.jpg#1r2c,SNLI
Children playing in public waterspouts.,The children are playing with water.,5,SNLI-train,SNLI-ENTAILMENT,1259936608.jpg#3,1259936608.jpg#3r1e,SNLI
Children playing in public waterspouts.,The children are playing outside on a hot summer day.,4,SNLI-train,SNLI-NEUTRAL,1259936608.jpg#3,1259936608.jpg#3r1n,SNLI
Children playing in public waterspouts.,The children are jumping rope.,1,SNLI-train,SNLI-CONTRADICTION,1259936608.jpg#3,1259936608.jpg#3r1c,SNLI
Woman makes a face while playing the board game Clue.,Person makes a face while playing a board game,5,SNLI-train,SNLI-ENTAILMENT,127489408.jpg#4,127489408.jpg#4r5e,SNLI
Woman makes a face while playing the board game Clue.,A woman plays a game with her family.,4,SNLI-train,SNLI-NEUTRAL,127489408.jpg#4,127489408.jpg#4r1n,SNLI
Woman makes a face while playing the board game Clue.,A woman eats a sandwich at the kitchen table.,3,SNLI-train,SNLI-CONTRADICTION,127489408.jpg#4,127489408.jpg#4r1c,SNLI
Two people are swimming in water next to a red buoy.,Two people are swimming in water next to a buoy.,5,SNLI-train,SNLI-ENTAILMENT,12904363.jpg#1,12904363.jpg#1r1e,SNLI
Two people are swimming in water next to a red buoy.,Two men are swimming in water next to a red buoy.,3,SNLI-train,SNLI-NEUTRAL,12904363.jpg#1,12904363.jpg#1r1n,SNLI
Two people are swimming in water next to a red buoy.,Two dogs are swimming in water next to a red buoy.,2,SNLI-train,SNLI-CONTRADICTION,12904363.jpg#1,12904363.jpg#1r1c,SNLI
A child is holding a cleanser in front of an oven.,A child is standing in front of an oven.,5,SNLI-train,SNLI-ENTAILMENT,1290571209.jpg#4,1290571209.jpg#4r1e,SNLI
A child is holding a cleanser in front of an oven.,A child is about to clean the oven.,4,SNLI-train,SNLI-NEUTRAL,1290571209.jpg#4,1290571209.jpg#4r1n,SNLI
A child is holding a cleanser in front of an oven.,A child is holding a bottle of milk in front of the refrigerator.,1,SNLI-train,SNLI-CONTRADICTION,1290571209.jpg#4,1290571209.jpg#4r1c,SNLI
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,man in jumpsuit,5,SNLI-train,SNLI-ENTAILMENT,129662899.jpg#2,129662899.jpg#2r1e,SNLI
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,man thinks about work problem,3,SNLI-train,SNLI-NEUTRAL,129662899.jpg#2,129662899.jpg#2r1n,SNLI
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,a mountain view,0,SNLI-train,SNLI-CONTRADICTION,129662899.jpg#2,129662899.jpg#2r1c,SNLI
Two kids on wakeboards attempt to give one another a high-five.,Two kids are riding on wakeboards.,5,SNLI-train,SNLI-ENTAILMENT,1304961697.jpg#2,1304961697.jpg#2r1e,SNLI
Two kids on wakeboards attempt to give one another a high-five.,Two kids are trying to high-five eachother for a video.,3,SNLI-train,SNLI-NEUTRAL,1304961697.jpg#2,1304961697.jpg#2r1n,SNLI
Two kids on wakeboards attempt to give one another a high-five.,Two kids are trying to huge.,0,SNLI-train,SNLI-CONTRADICTION,1304961697.jpg#2,1304961697.jpg#2r1c,SNLI
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.","People sit at a table, while a hand interrupts the photograph.",5,SNLI-train,SNLI-ENTAILMENT,1312440023.jpg#0,1312440023.jpg#0r3e,SNLI
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.",The people are in a bar.,3,SNLI-train,SNLI-NEUTRAL,1312440023.jpg#0,1312440023.jpg#0r5n,SNLI
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.",Young men and women sit around a picnic table outdoors with lots of food on the table,3,SNLI-train,SNLI-CONTRADICTION,1312440023.jpg#0,1312440023.jpg#0r4c,SNLI
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.","A young, yellow Belt, Karate Student is practicing in a Gym.",4,SNLI-train,SNLI-ENTAILMENT,132955537.jpg#1,132955537.jpg#1r5e,SNLI
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",A young boy with yellow belt has been practicing karate for a while.,4,SNLI-train,SNLI-NEUTRAL,132955537.jpg#1,132955537.jpg#1r3n,SNLI
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",the boy smokes a cigarette at home,1,SNLI-train,SNLI-CONTRADICTION,132955537.jpg#1,132955537.jpg#1r1c,SNLI
A bowler winding up for the toss.,The bowler is ready to toss.,4,SNLI-train,SNLI-ENTAILMENT,13301546.jpg#4,13301546.jpg#4r1e,SNLI
A bowler winding up for the toss.,The bowler is in a tournament.,3,SNLI-train,SNLI-NEUTRAL,13301546.jpg#4,13301546.jpg#4r1n,SNLI
A bowler winding up for the toss.,The bowler is doing nothing.,2,SNLI-train,SNLI-CONTRADICTION,13301546.jpg#4,13301546.jpg#4r1c,SNLI
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",There are many birds near the man.,5,SNLI-train,SNLI-ENTAILMENT,1351594833.jpg#1,1351594833.jpg#1r1e,SNLI
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",The pigeons are flying overhead.,3,SNLI-train,SNLI-NEUTRAL,1351594833.jpg#1,1351594833.jpg#1r1n,SNLI
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",The man is a mime.,2,SNLI-train,SNLI-CONTRADICTION,1351594833.jpg#1,1351594833.jpg#1r1c,SNLI
A small baby is in a plastic cradle.,An infant is resting,4,SNLI-train,SNLI-ENTAILMENT,13615892.jpg#4,13615892.jpg#4r4e,SNLI
A small baby is in a plastic cradle.,An infant is sleeping in a bassinet.,4,SNLI-train,SNLI-NEUTRAL,13615892.jpg#4,13615892.jpg#4r1n,SNLI
A small baby is in a plastic cradle.,A small baby stands near a cradle.,1,SNLI-train,SNLI-CONTRADICTION,13615892.jpg#4,13615892.jpg#4r2c,SNLI
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A young baby sleeping.,5,SNLI-train,SNLI-ENTAILMENT,1367685772.jpg#1,1367685772.jpg#1r1e,SNLI
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A baby wearing blue pajamas and taking her afternoon nap.,3,SNLI-train,SNLI-NEUTRAL,1367685772.jpg#1,1367685772.jpg#1r1n,SNLI
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A young baby is wide awake and crying.,2,SNLI-train,SNLI-CONTRADICTION,1367685772.jpg#1,1367685772.jpg#1r2c,SNLI
Two paddlers propel a canoe down a tree-lined stream.,Two people are rowing a canoe in the water.,5,SNLI-train,SNLI-ENTAILMENT,136886677.jpg#2,136886677.jpg#2r1e,SNLI
Two paddlers propel a canoe down a tree-lined stream.,Two people are wearing lifejackets.,3,SNLI-train,SNLI-NEUTRAL,136886677.jpg#2,136886677.jpg#2r1n,SNLI
Two paddlers propel a canoe down a tree-lined stream.,Two people are floating down the river in a raft.,2,SNLI-train,SNLI-CONTRADICTION,136886677.jpg#2,136886677.jpg#2r1c,SNLI
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""",A collection of humans display a sign.,5,SNLI-train,SNLI-ENTAILMENT,137422713.jpg#0,137422713.jpg#0r5e,SNLI
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""",People are talking while holding a banner.,3,SNLI-train,SNLI-NEUTRAL,137422713.jpg#0,137422713.jpg#0r4n,SNLI
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""","People are marching with a banner that says, ""we are lame.""",1,SNLI-train,SNLI-CONTRADICTION,137422713.jpg#0,137422713.jpg#0r4c,SNLI
Three women huddling for warmth under a blanket.,Cold people under a blanket.,5,SNLI-train,SNLI-ENTAILMENT,137431020.jpg#4,137431020.jpg#4r1e,SNLI
Three women huddling for warmth under a blanket.,Three sisters huddling for warmth under a comforter after the furnace blows out in the middle of winter.,3,SNLI-train,SNLI-NEUTRAL,137431020.jpg#4,137431020.jpg#4r1n,SNLI
Three women huddling for warmth under a blanket.,Three woman hang sheets on a clothesline.,1,SNLI-train,SNLI-CONTRADICTION,137431020.jpg#4,137431020.jpg#4r1c,SNLI
Beach goers look at a heart left in the sky by a sky writer.,People on a beach look at decorations in the sky.,5,SNLI-train,SNLI-ENTAILMENT,1394319096.jpg#4,1394319096.jpg#4r5e,SNLI
Beach goers look at a heart left in the sky by a sky writer.,People on a beach look up towards the sky.,5,SNLI-train,SNLI-NEUTRAL,1394319096.jpg#4,1394319096.jpg#4r5n,SNLI
Beach goers look at a heart left in the sky by a sky writer.,It is a dreary and cloudy day.,1,SNLI-train,SNLI-CONTRADICTION,1394319096.jpg#4,1394319096.jpg#4r2c,SNLI
A dog runs along the short at a beach.,the dog is playing at the ocean,4,SNLI-train,SNLI-ENTAILMENT,140430106.jpg#3,140430106.jpg#3r1e,SNLI
A dog runs along the short at a beach.,a few animals are running in the sand,3,SNLI-train,SNLI-NEUTRAL,140430106.jpg#3,140430106.jpg#3r1n,SNLI
A dog runs along the short at a beach.,the cats are sleeping on the grass,1,SNLI-train,SNLI-CONTRADICTION,140430106.jpg#3,140430106.jpg#3r1c,SNLI
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.",Two women making food as shown from an aerial view.,5,SNLI-train,SNLI-ENTAILMENT,1415147666.jpg#0,1415147666.jpg#0r1e,SNLI
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.","Two women compete in tryouts for ""The Iron Chef""",2,SNLI-train,SNLI-NEUTRAL,1415147666.jpg#0,1415147666.jpg#0r2n,SNLI
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.",Two women are in a submarine at the bottom of the ocean.,1,SNLI-train,SNLI-CONTRADICTION,1415147666.jpg#0,1415147666.jpg#0r5c,SNLI
Cancer survivors race for a cure.,cancer survivors are participating in a cause,5,SNLI-train,SNLI-ENTAILMENT,14153510.jpg#4,14153510.jpg#4r3e,SNLI
Cancer survivors race for a cure.,Four runners with pink T-shirts are running in a race.,3,SNLI-train,SNLI-NEUTRAL,14153510.jpg#4,14153510.jpg#4r4n,SNLI
Cancer survivors race for a cure.,Four people are sitting around a table.,2,SNLI-train,SNLI-CONTRADICTION,14153510.jpg#4,14153510.jpg#4r4c,SNLI
Small blond boy throwing a fit.,Small blond boy throwing a tantrum.,5,SNLI-train,SNLI-ENTAILMENT,1425188219.jpg#4,1425188219.jpg#4r1e,SNLI
Small blond boy throwing a fit.,Small blond boy throwing a fit because he didn't get the toy.,3,SNLI-train,SNLI-NEUTRAL,1425188219.jpg#4,1425188219.jpg#4r1n,SNLI
Small blond boy throwing a fit.,Small red headed child is throwing a fit.,2,SNLI-train,SNLI-CONTRADICTION,1425188219.jpg#4,1425188219.jpg#4r1c,SNLI
Two men are standing: one has body modifications and the other is wearing a hat.,A man has some piercings.,5,SNLI-train,SNLI-ENTAILMENT,1429723917.jpg#2,1429723917.jpg#2r4e,SNLI
Two men are standing: one has body modifications and the other is wearing a hat.,The man with the hat is drinking coffee.,2,SNLI-train,SNLI-NEUTRAL,1429723917.jpg#2,1429723917.jpg#2r2n,SNLI
Two men are standing: one has body modifications and the other is wearing a hat.,The men are sitting on the couch.,1,SNLI-train,SNLI-CONTRADICTION,1429723917.jpg#2,1429723917.jpg#2r3c,SNLI
A woman in an orange vest and blue shirt makes blue corn tortillas.,A woman in an orange vest and blue shirt is making food.,5,SNLI-train,SNLI-ENTAILMENT,1449163823.jpg#1,1449163823.jpg#1r1e,SNLI
A woman in an orange vest and blue shirt makes blue corn tortillas.,An Indian woman in an orange vest and blue shirt makes blue corn tortillas.,3,SNLI-train,SNLI-NEUTRAL,1449163823.jpg#1,1449163823.jpg#1r1n,SNLI
A woman in an orange vest and blue shirt makes blue corn tortillas.,Four kids are making pancakes in a kitchen.,2,SNLI-train,SNLI-CONTRADICTION,1449163823.jpg#1,1449163823.jpg#1r1c,SNLI
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.",A person is making a sculpture.,5,SNLI-train,SNLI-ENTAILMENT,1449758127.jpg#0,1449758127.jpg#0r4e,SNLI
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.","An old man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ",5,SNLI-train,SNLI-NEUTRAL,1449758127.jpg#0,1449758127.jpg#0r2n,SNLI
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.","A man, wearing a high pressure water machine on his back is sculpting a monument of president obama",1,SNLI-train,SNLI-CONTRADICTION,1449758127.jpg#0,1449758127.jpg#0r2c,SNLI
The string quintet plays for an audience.,A play is happening in front of an audience,2,SNLI-train,SNLI-ENTAILMENT,1459250022.jpg#3,1459250022.jpg#3r1e,SNLI
The string quintet plays for an audience.,A play is happening in front of an audience and they are enjoying it,3,SNLI-train,SNLI-NEUTRAL,1459250022.jpg#3,1459250022.jpg#3r1n,SNLI
The string quintet plays for an audience.,Don't watch the show while sleeping the dog,0,SNLI-train,SNLI-CONTRADICTION,1459250022.jpg#3,1459250022.jpg#3r1c,SNLI
A young girl suspended by rope next to a mesh.,A little girl is hanging in the air,5,SNLI-train,SNLI-ENTAILMENT,1463638541.jpg#2,1463638541.jpg#2r1e,SNLI
A young girl suspended by rope next to a mesh.,A little girl is in the circus act,3,SNLI-train,SNLI-NEUTRAL,1463638541.jpg#2,1463638541.jpg#2r1n,SNLI
A young girl suspended by rope next to a mesh.,A little girl is laying in her bed,1,SNLI-train,SNLI-CONTRADICTION,1463638541.jpg#2,1463638541.jpg#2r1c,SNLI
A little boy presses his face a window.,The boy pressed his face against the window.,5,SNLI-train,SNLI-ENTAILMENT,1464120327.jpg#4,1464120327.jpg#4r1e,SNLI
A little boy presses his face a window.,The boy searched for his father by pressing his face against the window.,3,SNLI-train,SNLI-NEUTRAL,1464120327.jpg#4,1464120327.jpg#4r1n,SNLI
A little boy presses his face a window.,The girl looked through the window.,2,SNLI-train,SNLI-CONTRADICTION,1464120327.jpg#4,1464120327.jpg#4r1c,SNLI
An African dressmaker puts the finishing touches on a garment while two women watch.,A black clothing maker is working with his hands.,5,SNLI-train,SNLI-ENTAILMENT,146479462.jpg#1,146479462.jpg#1r1e,SNLI
An African dressmaker puts the finishing touches on a garment while two women watch.,The person from Africa is impressing two women.,4,SNLI-train,SNLI-NEUTRAL,146479462.jpg#1,146479462.jpg#1r1n,SNLI
