CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
A woman is holding a large check for Kids Food Basket .,A person removes the check .,3,SNLI-test,AGCI-WK,AGCI
"Asian male in blue striped shirt , tan pants , black rubber boots , inspecting a large tuna .",The tuna is a prickly pear .,1,SNLI-train,AGCI-WK,AGCI
An asian man attempts to put out a wildfire with a small wooden bucket.,the man is small .,3,SNLI-train,AGCI-NN,AGCI
Jan wanted to make a peanut butter and jelly sandwich,The sandwich is a snack food .,4,ROCStories,AGCI-WK,AGCI
A man and a woman use syringes to soak up broth for cooking .,A person is squeezed in the broth .,1,SNLI-train,AGCI-WK,AGCI
A line of men in white uniforms with pale blue flaps on their shoulders as well as some type of gold badge on their chest being scolded by a drill sergeant.,there are men wearing helmets .,3,SNLI-train,AGCI-NN,AGCI
A woman sniffs at the remnants of drink in her companion 's glass .,The companion is an attendant .,3,SNLI-train,AGCI-WK,AGCI
A man playing the violin in the street .,The man is a subordinate .,2,SNLI-train,AGCI-WK,AGCI
An elderly man with a mustache and a black baseball cap reaches over to select a bottle of Ar and Hammer laundry detergent .,A person is marketed like the detergent .,1,SNLI-train,AGCI-WK,AGCI
A baby and a toddler are smiling whilst playing in a nursery .,The nursery is quieted .,3,SNLI-train,AGCI-WK,AGCI
Man wearing sneakers and a gray T-shirt sits on his haunches facing a drum set with electrical cord around him .,The haunches are a body part .,5,SNLI-train,AGCI-WK,AGCI
The woman claimed she saw a ghost.,Her acquaintances expressed skepticism.,4,COPA-premise,COPA-effect,COPA
A police officer trains a german shepherd .,The german is killed in a shooting .,2,SNLI-train,AGCI-WK,AGCI
A man in a white t-shirt and blue jeans does a skateboard trick in front of colorful graffiti reading '' Having fun is the worst '',A person expects the worst .,2,SNLI-train,AGCI-WK,AGCI
Rose got an inflated ball to use for exercise,The exercise is an effort .,5,ROCStories,AGCI-WK,AGCI
A woman bites her fingernails and looks at a man through a window .,The fingernails lodge in a chest .,2,SNLI-train,AGCI-WK,AGCI
Sarah was excited for the 5K run on Sunday,A plan is tied to the run .,2,ROCStories,AGCI-WK,AGCI
Man sitting on bench with suitcase waiting for his source of transportation .,The source is found in feces .,1,SNLI-test,AGCI-WK,AGCI
man in a London town crier ceremonial uniform holds flowers,The crier steals a bell .,2,SNLI-train,AGCI-WK,AGCI
A white man who looks like harry potter reads a magazine in front of a purple '' women 's lifestyle '' sign,A person lives the lifestyle .,1,SNLI-train,AGCI-WK,AGCI
"A colorful array of motorcyclists gathered outdoors , with Joshua trees in the background and a pair of motorcyclists on a cherry-red cycle in the foreground .",A graphic explains the cycle .,3,SNLI-dev,AGCI-WK,AGCI
"A toddler with blond-hair , in a gray sweater , petting a brown spotted dog .",The toddler becomes the first .,2,SNLI-train,AGCI-WK,AGCI
A man with a bowtie made out of a dollar and wearing glasses is looking into the camera .,A person saves the dollar .,3,SNLI-train,AGCI-WK,AGCI
I felt a rumble in my stomach,I looked around to see who had heard.,3,ROCStories-1st,ROCStories-2nd,ROC
The boy is licking the spoon to taste the sweetness of the rolls ' toppings .,The sweetness are a taste .,4,SNLI-train,AGCI-WK,AGCI
Two people dressed in winter apparel venture out onto a frozen body of water .,The venture includes a construction .,2,SNLI-train,AGCI-WK,AGCI
The teacher gave us instructions for the lab,The teacher is shot .,2,ROCStories,AGCI-WK,AGCI
Children participating at a party while looking at the one kid in exuberance over the new toy .,The exuberance is liveliness .,5,SNLI-dev,AGCI-WK,AGCI
A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car .,The information is a collection .,4,SNLI-dev,AGCI-WK,AGCI
Tom decided he needed a joke for his work presentation,A person starts with the presentation .,4,ROCStories,AGCI-WK,AGCI
The parents wanted their children to go to college.,They set aside a savings fund for tuition.,4,COPA-premise,COPA-effect,COPA
A man in a green shirt is singing karaoke while a young woman with long brownish hair stands by and listens .,The karaoke has a round .,1,SNLI-dev,AGCI-WK,AGCI
Maddie had always wanted to dance and do gymnastics,For a long time she took dance lessons and gymnastics.,3,ROCStories-1st,ROCStories-3rd,ROC
Four people are sitting in an enclosure that looks like a half-open eggshell .,The eggshell rips .,1,SNLI-train,AGCI-WK,AGCI
Ashley wanted to make pancakes this morning but she did n't have milk,A person loves the pancakes .,3,ROCStories,AGCI-WK,AGCI
A woman standing outside at dawn .,The dawn worsens a trend .,2,SNLI-train,AGCI-WK,AGCI
Tom walked the same path to work everyday,The path is a course .,4,ROCStories,AGCI-WK,AGCI
Two children are standing on a green metal fence .,A person changes the fence .,2,SNLI-train,AGCI-WK,AGCI
Man and his sled dogs traveling down a snowy road .,A person buys the sled .,2,SNLI-train,AGCI-WK,AGCI
The lady in the red jacket is helping the other lady decide what to buy .,Note is sent for the buy .,2,SNLI-dev,AGCI-WK,AGCI
A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background .,The act is unconstitutional .,2,SNLI-test,AGCI-WK,AGCI
Frank had a hard time keeping up with his socks,The socks are a visual signal .,2,ROCStories,AGCI-WK,AGCI
Brad had just recently got a new kitty,When brad came home from work he screamed when he walked in his house.,3,ROCStories-1st,ROCStories-3rd,ROC
"A girl wearing khakis and a red sweatshirt is jumping in the air , while she is in the forest .",The khakis are visible from a roof .,3,SNLI-test,AGCI-WK,AGCI
Swimmers stand on various levels of a large diving board complex in a room with figures from mythology painted on the wall .,The mythology is fuelled by a death .,2,SNLI-train,AGCI-WK,AGCI
A person on a mountain bike who 's wearing a racer 's outfit with a full face helmet is jumping off of a dirt outcropping .,A person turns into the racer .,1,SNLI-train,AGCI-WK,AGCI
An Asian boy is holding onto the metal railing of a wooden bridge .,The bridge sets a mood .,2,SNLI-train,AGCI-WK,AGCI
"A man and woman talk to another woman , all looking concerned , in a room being decorated with streamers and balloons .",A group holds up the streamers .,2,SNLI-test,AGCI-WK,AGCI
Yesterday there was a massive snowstorm,The snowstorm strikes .,2,ROCStories,AGCI-WK,AGCI
Ben was resting in his dog cage all day,A person rattles the cage .,3,ROCStories,AGCI-WK,AGCI
Bystanders watch the aftermath of an accident between a red and black car .,The aftermath is a consequence .,4,SNLI-train,AGCI-WK,AGCI
Nancy had a problem with her bad breath,Nancy went to her dentist and he cleaned her teeth.,3,ROCStories-1st,ROCStories-3rd,ROC
The hockey players and referee are preparing for a face-off .,The face-off is a disagreement .,3,SNLI-test,AGCI-WK,AGCI
Sea coastguards are in the blue waters again always ready to save lives .,The coastguards are a military service .,5,SNLI-train,AGCI-WK,AGCI
The back of two men with beanies on in front of a large stone wall .,The beanies pull over a face .,2,SNLI-train,AGCI-WK,AGCI
A man in a white t-shirt and jeans is holding a mallet and chisel next to his abstract sculpture which stands on several bricks .,The chisel is an edge tool .,5,SNLI-test,AGCI-WK,AGCI
Mike was 24 Year 's old and suffering from depression and debt,The depression is an affective disorder .,5,ROCStories,AGCI-WK,AGCI
A child is sitting on a counter helping prepare something to eat by holding a Sunbeam Beatermix mixer waiting to pour in an yellow egg yolk .,The yolk is heated .,3,SNLI-train,AGCI-WK,AGCI
A small child is sitting playing with an adornment in a small garden .,A person supervises the adornment .,2,SNLI-train,AGCI-WK,AGCI
A man in an orange shirt stands on a latter and paints a wall blue .,The latter happens .,1,SNLI-train,AGCI-WK,AGCI
"Five belly dancers with colorful veils on their heads dance on a stage lit with yellow , red , blue , and green lights .",The veils are tested .,2,SNLI-train,AGCI-WK,AGCI
A race car on a track has flames shooting from the rear .,The rear is a side .,5,SNLI-train,AGCI-WK,AGCI
I was at the mall yesterday to find the perfect dress,As soon as I walked into Ann Taylor my eyes found the perfect one.,3,ROCStories-1st,ROCStories-2nd,ROC
Two children sharing a space that permits them both to maximize their individual aspirations .,People suffer the aspirations .,3,SNLI-train,AGCI-WK,AGCI
Three men with blue jerseys try to score a goal in soccer against the other team in white jerseys and their goalie in green .,The goalie stops a shot .,4,SNLI-dev,AGCI-WK,AGCI
A person wearing a white shirt and black pans is jumping of a riff .,The riff is a berber .,1,SNLI-train,AGCI-WK,AGCI
The beast may ruin the objects .,The beast is an attacker .,3,SNLI-train,AGCI-WK,AGCI
Marie had decided to organize a barbecue,The barbecue is a cookout .,5,ROCStories,AGCI-WK,AGCI
The boy is wearing a black t-shirt with an AD parody of the AC logo .,A project is changed to the parody .,2,SNLI-train,AGCI-WK,AGCI
A sweating frustrated man just coming out of the water .,An effect is known as the sweating .,2,SNLI-train,AGCI-WK,AGCI
My kids were hungry at lunchtime,They are picky eaters and didn't want anything I offered them.,3,ROCStories-1st,ROCStories-2nd,ROC
A little girl in a pink hat is in a lush green field walking an ox .,The ox is bitten by tigers .,2,SNLI-test,AGCI-WK,AGCI
Two Pipe-fitters weld a seam joining a large coupling .,An army is locked in the seam .,1,SNLI-train,AGCI-WK,AGCI
A group of people celebrating a couple marriage .,A picture shows the marriage .,2,SNLI-train,AGCI-WK,AGCI
One winter my - family found a very small and cold kitten under our car,The winter is cold .,4,ROCStories,AGCI-WK,AGCI
Three women are cultivating plants in a flooded riverbed .,A flow erodes the riverbed .,3,SNLI-train,AGCI-WK,AGCI
A child sitting on a rock formation .,The formation is an arrangement .,4,SNLI-train,AGCI-WK,AGCI
The boy's forehead felt hot.,His mother took him to the park.,2,COPA-premise,COPA-effect,COPA
A large group of people riding a green roller coaster on its downhill slide while on a yellow rail while over a green algae ridden pond or body of water .,The algae become an office .,1,SNLI-train,AGCI-WK,AGCI
Janet has a large collection of teddy bears,She's hoping to add some rare teddy bears to her collection.,4,ROCStories-1st,ROCStories-2nd,ROC
A man scuba diving underwater .,The scuba is a breathing device .,5,SNLI-train,AGCI-WK,AGCI
A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor .,The fireplace is complex .,3,SNLI-test,AGCI-WK,AGCI
Daniel had always thought he was too short to get a girlfriend,The short is a contact .,1,ROCStories,AGCI-WK,AGCI
Celebrants climbing a traffic light .,The celebrants are a person .,5,SNLI-train,AGCI-WK,AGCI
Mike was a successful writer but - had gotten sick of writing,The writing looks bad .,2,ROCStories,AGCI-WK,AGCI
Seven people got stuck in an elevator when the power went out,A person understands the power .,3,ROCStories,AGCI-WK,AGCI
Katie was chewing some gum,The gum is a cement .,2,ROCStories,AGCI-WK,AGCI
A man is standing in the aisle of a grocery store and staring at the cereal selection .,The selection is a decision making .,4,SNLI-dev,AGCI-WK,AGCI
A girl drinking a soda while another plays Wii while sitting on couches .,A person jumps off the couches .,3,SNLI-train,AGCI-WK,AGCI
I saw a crow above my head,The head is a domestic animal .,1,ROCStories,AGCI-WK,AGCI
The girl wanted to wear earrings.,She got a tattoo.,3,COPA-premise,COPA-effect,COPA
Three ladies jumping on the coastline .,The coastline is considered a point .,3,SNLI-train,AGCI-WK,AGCI
A woman in blue yawns and a woman in white reaches for a drink as a man in black watches while all three are on a camping trip .,A goalkeeper produces the yawns .,1,SNLI-train,AGCI-WK,AGCI
Mom said the flu shot keeps people from getting the flu,I'm not sure I believe that.,3,ROCStories-1st,ROCStories-2nd,ROC
"A busy city scene with many different types of vehicles either parked , or moving along on the freeway .",A person loves the scene .,3,SNLI-train,AGCI-WK,AGCI
Dakota hated mint flavor so - he really hated the taste of toothpaste,The flavor is sweet .,3,ROCStories,AGCI-WK,AGCI
A little boy punching out flashcards from the cardboard they came in .,A day is resolved over the cardboard .,1,SNLI-test,AGCI-WK,AGCI
A young man in an orange vest holding a shotgun displays a dead bird that he shot.,the man is trying to get the better shot,2,SNLI-train,AGCI-NN,AGCI
A girl with her mother holding hands walking into a public building walks past a woman most likely begging for money or homeless next to the door .,The homeless are an unfortunate .,5,SNLI-train,AGCI-WK,AGCI
Han read that bottled water should n't be stored in direct sunlight,Clouds are supposed to bounce the sunlight .,2,ROCStories,AGCI-WK,AGCI
Europeans enjoying wine straight from the bottle .,A job goes to the europeans .,2,SNLI-train,AGCI-WK,AGCI
A man in a suit walks by a building while the hood of a car reflects a warped view of that building .,The hood has a sentence .,1,SNLI-train,AGCI-WK,AGCI
Selma went to the beach for her vacation,It had been a dream of hers to see the ocean.,3,ROCStories-1st,ROCStories-2nd,ROC
People dressed in camo are bent down getting ready to fire their guns .,A body is wrapped in the camo .,1,SNLI-train,AGCI-WK,AGCI
Moe flew a kite on a windy day,The kite is presented .,3,ROCStories,AGCI-WK,AGCI
The child is playing hide and seek in the hay .,The hay is in the barn .,3,SNLI-train,AGCI-WK,AGCI
Keith hated washing dishes at his house,The dishes are a container .,3,ROCStories,AGCI-WK,AGCI
"overhead view of two people, a man and a woman, preparing a meal with potatoes.",there is a very white space .,1,SNLI-train,AGCI-NN,AGCI
A person in an orange jumpsuit with silver reflectors is working underneath a train .,A wave bounces back like the reflectors .,2,SNLI-train,AGCI-WK,AGCI
John loved the outdoors,The outdoors are an outside .,5,ROCStories,AGCI-WK,AGCI
"Two men wearing red pants and holding onto a vertical ladder , appear to be doing acrobats outside a building .",The acrobats plan to set a record .,3,SNLI-train,AGCI-WK,AGCI
Two sisters on a country road chasing sheep .,The sheep is infected .,2,SNLI-train,AGCI-WK,AGCI
Maxine had tried eating tuna before but had never eaten salmon,The tuna is a prickly pear .,1,ROCStories,AGCI-WK,AGCI
Fall shoppers and bistro food lovers caught in the ebb and flow of the city .,The ebb is inevitable .,3,SNLI-train,AGCI-WK,AGCI
A group of young adults wait in line outdoors in the daytime .,A worker is kidnapped in the daytime .,2,SNLI-test,AGCI-WK,AGCI
An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background .,A speculation focuses on the telescopes .,1,SNLI-test,AGCI-WK,AGCI
A male photographer shows a female photographer his camera while two other women stand nearby .,A daughter weds the photographer .,3,SNLI-train,AGCI-WK,AGCI
Rex had always wanted to play hockey,He practiced skating every day until he was an expert.,3,ROCStories-1st,ROCStories-3rd,ROC
The woman upgraded her computer hardware.,She installed new software on the computer.,4,COPA-premise,COPA-effect,COPA
Two people dressed for cold weather sit in chairs next to a body of water .,The weather is perfected .,1,SNLI-train,AGCI-WK,AGCI
Two friends were in a heated game of checkers,The checkers are old .,3,ROCStories,AGCI-WK,AGCI
A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer .,The accompaniment is instantaneous .,3,SNLI-test,AGCI-WK,AGCI
Will wanted to go down to the nearby cemetery,Will briskly walked to the cemetery by the park.,4,ROCStories-1st,ROCStories-3rd,ROC
"People in front of waterfront , 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water .",A site is within view of the waterfront .,4,SNLI-test,AGCI-WK,AGCI
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her .,The toes are a digit .,1,SNLI-test,AGCI-WK,AGCI
Keely and her friends decided to go orange picking,A person is proud of the picking .,4,ROCStories,AGCI-WK,AGCI
Five runners are kneeling at the beginning of a 100-meter race on an indoor track in a stadium full of people .,The beginning is unclear .,2,SNLI-train,AGCI-WK,AGCI
Two young girls pick daffodils .,A person carries the daffodils .,4,SNLI-train,AGCI-WK,AGCI
A man dressed in a suit and bowler style hat plays a sousaphone which has flames coming out of the top .,The sousaphone fails to detonate .,5,SNLI-test,AGCI-WK,AGCI
A young boy sitting at a desk is writing upon some paper in his hand barefoot and surrounded by other desks and blinds covering the windows behind him .,The blinds are people .,1,SNLI-train,AGCI-WK,AGCI
A barber is putting a towel around an old man 's neck before he shaves his beard .,The towel is a piece of cloth .,5,SNLI-train,AGCI-WK,AGCI
People dancing and being watched by a man wearing a shirt that says security .,The security is a measure of a flow .,1,SNLI-dev,AGCI-WK,AGCI
Tam wanted to join the army,He went to the recruitment center to apply.,5,ROCStories-1st,ROCStories-2nd,ROC
It was Charlie 's first day of work at the new firm,A person is a partner in the firm .,4,ROCStories,AGCI-WK,AGCI
Two men are in a boat with a rescue dummy .,The dummy is crude .,2,SNLI-train,AGCI-WK,AGCI
Two little girls reading a book at the library .,A school has the library .,4,SNLI-test,AGCI-WK,AGCI
Tim was having a party at his house,A person votes for the party .,2,ROCStories,AGCI-WK,AGCI
The scientist walked through the deep jungle in search of a rare frog,A computer performs the search .,2,ROCStories,AGCI-WK,AGCI
I had a dream last night,The night is a twilight .,4,ROCStories,AGCI-WK,AGCI
"A young man and young woman wearing backpacks are placing or removing an item from an old white tree snag , with other people standing or sitting in the background .",The snag is a tree .,1,SNLI-dev,AGCI-WK,AGCI
A man walking down the pier scratching his back with a boat sailing in the background as the sun sets over the water .,The sailing is voluntary .,4,SNLI-train,AGCI-WK,AGCI
One young boy is holding a plastic sward with another young boy is holding a stick outside.,there are two boys .,4,SNLI-train,AGCI-NN,AGCI
A person wearing a helmet and riding suit is riding a four wheeler on a dusty plot of land .,The plot is a scheme .,1,SNLI-dev,AGCI-WK,AGCI
A group of emergency workers oversee a massive deterioration on a city street .,The deterioration is a decay .,5,SNLI-train,AGCI-WK,AGCI
Dan noticed that his hair was started to develop dandruff,A person stands out like the dandruff .,1,ROCStories,AGCI-WK,AGCI
Ike converted his house to a church for tax purposes,A person reiterates the purposes .,2,ROCStories,AGCI-WK,AGCI
A man in a white hard hat pulls a sea probe that is hoisted over the side of the boat .,A person cooperates with the probe .,2,SNLI-train,AGCI-WK,AGCI
An architect hammers a nail ; his hard hat reads '' emergency architects . '',A person is known as the architect .,5,SNLI-train,AGCI-WK,AGCI
A runner slides into second base while the shortstop waits for the ball,the athlete tried to avoid the ball .,4,SNLI-train,AGCI-NN,AGCI
Lee loved swimming,But she just couldn't race fast enough to win any contests!,4,ROCStories-1st,ROCStories-3rd,ROC
The indian 's are performing a sacred dance .,The indian is added to an agenda .,2,SNLI-test,AGCI-WK,AGCI
"As others wait outside the public building for the doors to open , one young Irish dancer practices her jig .",The jig is a device .,1,SNLI-train,AGCI-WK,AGCI
Mom said the flu shot keeps people from getting the flu,The shot is a small indefinite quantity .,1,ROCStories,AGCI-WK,AGCI
Max bought a new puppy named Trouble,The new puppy ate shoes and pooped on the floor.,3,ROCStories-1st,ROCStories-2nd,ROC
An old man talks to a street performer wearing makeup with a pet monkey .,The monkey is a ornery creature with a growl .,2,SNLI-test,AGCI-WK,AGCI
Two young boys have fun bowling throwing their ball down a brightly lit bowling alley .,A person serves in the bowling .,1,SNLI-train,AGCI-WK,AGCI
Lulu got in a cab to go to meet her friend,A person jumps in the cab .,3,ROCStories,AGCI-WK,AGCI
Rihanna looked over the directions for the experiment,The directions are a message .,4,ROCStories,AGCI-WK,AGCI
Some children are playing football with a seacoast in the background .,The seacoast is a shore .,5,SNLI-train,AGCI-WK,AGCI
A girl 's red shoe sole is shown as the soccer ball flies through the air .,A person has to take off the sole .,2,SNLI-train,AGCI-WK,AGCI
This older gentleman appears to be outside waiting for someone to come to have him fix their shoe .,A declaration there is a provision for the fix .,2,SNLI-train,AGCI-WK,AGCI
A younger couple sitting closely to one another while enjoying a 3d flick .,The flick proposes a legislation .,1,SNLI-train,AGCI-WK,AGCI
When Phil left his position as head pastor he was relieved,The pastor tells reporters .,3,ROCStories,AGCI-WK,AGCI
Anchors for local ABC affiliate Channel 7 news .,A person is connected to the affiliate .,4,SNLI-train,AGCI-WK,AGCI
These five site seers are on the ocean looking out the man is taking pictures the others are looking at the beautiful blue sea .,The seers are in critical condition .,2,SNLI-train,AGCI-WK,AGCI
A little girt wearing a yellow bracelet and yellow socks with shin guards kicks a bright pink soccer ball .,The guards kill an officer .,1,SNLI-train,AGCI-WK,AGCI
An elderly looking man in Europe is standing on top of a garbage can near the crosswalk as passersby take no notice .,A leadership is satisfied with the notice .,2,SNLI-train,AGCI-WK,AGCI
"4 youngsters line up for a sprint race , while 2 other youths look on while wearing footballs jerseys .",The youths are charged with a murder .,2,SNLI-train,AGCI-WK,AGCI
A man stands on a chair as he adjusts a tarpaulin for a booth .,The tarpaulin is formulated to maintain a range .,1,SNLI-train,AGCI-WK,AGCI
A man is in the desert a few feet off the ground holding onto strings of a parachute .,The strings are a tie .,5,SNLI-train,AGCI-WK,AGCI
"An male entertainer is wearing women 's clothing that consists of a pink tank top , skirt , knee high socks , and a hairnet , performing on a unicycle a juggling knives while a crowd watches .",A body is wrapped in the hairnet .,2,SNLI-train,AGCI-WK,AGCI
"This young Child , in the Blue Shirt , is working up his Muscles , or he has a bad tooth ache",A skier nurses the ache .,2,SNLI-train,AGCI-WK,AGCI
"Four children playing at a preschool , one looking out the window , one is running , and the other two are playing with wooden blocks .",A plan is to open the preschool .,3,SNLI-dev,AGCI-WK,AGCI
A girl in jeans and a black shirt pours liquid into a 2 liter bottle using a funnel .,The funnel stops a fighting .,1,SNLI-train,AGCI-WK,AGCI
Marge was proud that she fed her kids oatmeal for breakfast,The oatmeal is heated .,4,ROCStories,AGCI-WK,AGCI
a man wit a green collared shirt and a camera sits at a curb .,The wit is an intelligence .,1,SNLI-train,AGCI-WK,AGCI
A young woman wearing a day pack is seated on a rock overlooking a beautiful area of water with small inlets and other rocks .,A hurricane opens the inlets .,2,SNLI-train,AGCI-WK,AGCI
Tim 's electric bill was late,The bill is a statement .,5,ROCStories,AGCI-WK,AGCI
A group of construction workers wearing blue have formed a queue while 5 more people in orange and some in plain clothes are also present in a construction site with a blue fencing .,The queue forms .,5,SNLI-train,AGCI-WK,AGCI
A man and a woman stand in front of a Christmas tree contemplating a single thought .,A person supports the thought .,2,SNLI-test,AGCI-WK,AGCI
"A young woman is wearing a red shirt , black riding helmet , black pants , and black shoes , while riding in a saddle on a white horse .",The saddle contains remains .,1,SNLI-train,AGCI-WK,AGCI
This boy is in deep concentration playing a game of ping-pong .,The concentration is the key .,4,SNLI-dev,AGCI-WK,AGCI
A group of men are re-enacting a battle and have a woman as their prisoner.,a group of people are walking .,3,SNLI-train,AGCI-NN,AGCI
A line of costumed figures hold opened books on the grounds where a Renaissance Fair is being held .,The grounds are information .,1,SNLI-train,AGCI-WK,AGCI
A group of people look at sand sculptures .,A person urges the sculptures .,1,SNLI-train,AGCI-WK,AGCI
Chuck and Andy had plans to see a movie together,Andy bought both tickets online ahead of time to save time in line.,4,ROCStories-1st,ROCStories-2nd,ROC
A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons .,A person hopes for the ribbons .,1,SNLI-train,AGCI-WK,AGCI
A young adult reads a book at the laundromat as he waits for his laundry to be done .,The laundromat is the television repair shop .,1,SNLI-train,AGCI-WK,AGCI
A young child looking at a toy railroad setup .,The setup storms into a home .,1,SNLI-train,AGCI-WK,AGCI
A boy being drenched in a downpour of water .,A person unleashes the downpour .,1,SNLI-train,AGCI-WK,AGCI
A gangster standing at a bus stop .,The gangster is arrested for an attack .,3,SNLI-train,AGCI-WK,AGCI
A group of men stands near a tree as a racing car stirs up a cloud of dust on the gravel road beside them .,The cloud is a physical phenomenon .,3,SNLI-train,AGCI-WK,AGCI
a girl in a red top bowls a cricket ball at a boy in a yellow shirt who is in front of the wicket holding a bat .,The wicket is a gate .,4,SNLI-train,AGCI-WK,AGCI
People protesting age discrimination in an organized street rally .,The discrimination is prohibited .,3,SNLI-test,AGCI-WK,AGCI
Jane was shocked to see her daughter 's nose bleeding again,The bleeding spreads .,2,ROCStories,AGCI-WK,AGCI
Bob the beekeeper went out to collect honey,Chains stock up on the honey .,1,ROCStories,AGCI-WK,AGCI
A woman with a purple purse sits on the metro with her suitcase .,A person goes into the metro .,5,SNLI-dev,AGCI-WK,AGCI
A man wearing a red jacket looks at a paper while another man in a black jacket looks at the camera in a snow-covered field .,A spokesman tells the paper .,1,SNLI-train,AGCI-WK,AGCI
An older man is riding a bike with a blue laundry hamper full of clothes on his handlebars .,The hamper is a basket .,4,SNLI-test,AGCI-WK,AGCI
"A woman with pink bangs and a child are sitting at a table , about to eat a meal .",The bangs would prove controversial .,3,SNLI-train,AGCI-WK,AGCI
"A pause in a speech at the Baseball Hall of Fame caused by , what appears to be , an emotional moment .",The pause is temporary .,5,SNLI-train,AGCI-WK,AGCI
"A female bowler dressed in blue , with another bowler in the background , prepares to throw a ball down the lane .",The bowler is a cricketer .,2,SNLI-test,AGCI-WK,AGCI
Joe likes to go to Minnesota to his grandparent 's cabin on the lake,A person lives in the cabin .,5,ROCStories,AGCI-WK,AGCI
Two workers working on the gulf .,The gulf is great .,3,SNLI-train,AGCI-WK,AGCI
I was spending a week in new york,The york is a dynasty .,2,ROCStories,AGCI-WK,AGCI
A brown-skinned man is engraving what appears to be Arabic syllables into a large stone slab using a chisel .,The engraving is due to travel to a city .,1,SNLI-train,AGCI-WK,AGCI
"a pleased older woman blow drying her short , red-hair .",The blow is a wind .,4,SNLI-train,AGCI-WK,AGCI
A man sits on a bench beside his bike while viewing the scenery around him overlooking a busy city .,The scenery is dramatic .,3,SNLI-dev,AGCI-WK,AGCI
Standing in a kitchen a young woman wearing a black peasant blouse and holding a plastic fork between her teeth shows the camera a ladle in her right hand and a bowl in her left hand .,The blouse is timed .,1,SNLI-train,AGCI-WK,AGCI
Man studies a piece of music while learning how to play the ukulele .,A person plays the ukulele .,5,SNLI-train,AGCI-WK,AGCI
